gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2834479571	StillImage	image/jpeg	https://observation.org/photos/22756272.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834479571	StillImage	image/jpeg	https://observation.org/photos/22756271.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834472626	StillImage	image/jpeg	https://observation.org/photos/22757406.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834472626	StillImage	image/jpeg	https://observation.org/photos/22757405.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834472626	StillImage	image/jpeg	https://observation.org/photos/22757407.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834472626	StillImage	image/jpeg	https://observation.org/photos/22757408.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834472626	StillImage	image/jpeg	https://observation.org/photos/22757410.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834471819	StillImage	image/jpeg	https://observation.org/photos/22756609.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834466164	StillImage	image/jpeg	https://observation.org/photos/22554948.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834465949	StillImage	image/jpeg	https://observation.org/photos/22427481.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834463325	StillImage	image/jpeg	https://observation.org/photos/22508373.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834460499	StillImage	image/jpeg	https://observation.org/photos/22334892.jpg							Woody Janssen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Woody Janssen
2834460496	StillImage	image/jpeg	https://observation.org/photos/22334392.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834460496	StillImage	image/jpeg	https://observation.org/photos/22334390.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834460496	StillImage	image/jpeg	https://observation.org/photos/22334391.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834459131	StillImage	image/jpeg	https://observation.org/photos/23988598.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	P.C. Bakker
2834456540	StillImage	image/jpeg	https://observation.org/photos/22755880.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834456540	StillImage	image/jpeg	https://observation.org/photos/22755881.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834454190	StillImage	image/jpeg	https://observation.org/photos/22756588.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834454190	StillImage	image/jpeg	https://observation.org/photos/22756587.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834454184	StillImage	image/jpeg	https://observation.org/photos/22753496.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834454184	StillImage	image/jpeg	https://observation.org/photos/22753497.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834447499	StillImage	image/jpeg	https://observation.org/photos/22756624.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834446777	StillImage	image/jpeg	https://observation.org/photos/22756442.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834446777	StillImage	image/jpeg	https://observation.org/photos/22756443.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834446510	StillImage	image/jpeg	https://observation.org/photos/22639592.jpg							Wout Willems			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wout Willems
2834444278	StillImage	image/jpeg	https://observation.org/photos/22622109.jpg							C.I.M. van Roosmalen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Chris van Roosmalen
2834443833	StillImage	image/jpeg	https://observation.org/photos/22427520.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834438266	StillImage	image/jpeg	https://observation.org/photos/22555298.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834432506	StillImage	image/jpeg	https://observation.org/photos/22114080.jpg							Douwe de Boer			http://creativecommons.org/licenses/by-nc-nd/4.0/	Douwe de Boer
2834427984	StillImage	image/jpeg	https://observation.org/photos/22337871.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834427984	StillImage	image/jpeg	https://observation.org/photos/22334467.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834420980	StillImage	image/jpeg	https://observation.org/photos/22535217.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2834415116	StillImage	image/jpeg	https://observation.org/photos/22508308.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834415116	StillImage	image/jpeg	https://observation.org/photos/22508307.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834406592	StillImage	image/jpeg	https://observation.org/photos/22334888.jpg							Woody Janssen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Woody Janssen
2834403694	StillImage	image/jpeg	https://observation.org/photos/22755738.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834381309	StillImage	image/jpeg	https://observation.org/photos/22755956.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834376049	StillImage	image/jpeg	https://observation.org/photos/22425270.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834370425	StillImage	image/jpeg	https://observation.org/photos/23079954.jpg							Maarten Immerzeel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Maarten Immerzeel
2834367228	StillImage	image/jpeg	https://observation.org/photos/22334408.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834367228	StillImage	image/jpeg	https://observation.org/photos/22334406.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
